iter	RMSE
0	0.3965437488
1	0.3932460466
2	0.3900423524
3	0.3868549717
4	0.3837387175
5	0.3806266506
6	0.3775600656
7	0.3745181475
8	0.3714848817
9	0.3685088054
10	0.3655596684
11	0.3625829548
12	0.3597114946
13	0.3568704364
14	0.3539853405
15	0.3511599226
16	0.3483357278
17	0.345629298
18	0.3428727609
19	0.3402040858
20	0.337531573
21	0.3348993654
22	0.3323131133
23	0.3297449563
24	0.3271389898
25	0.3246015571
26	0.3221030612
27	0.3196311524
28	0.317161542
29	0.3146897385
30	0.312260791
31	0.3098799305
32	0.3075675577
33	0.3052235963
34	0.3029184104
35	0.3006764843
36	0.2984679458
37	0.2962808661
38	0.2940507009
39	0.2918852331
40	0.2897010444
41	0.2875593472
42	0.2854603299
43	0.2834033073
44	0.2813196398
45	0.2793220469
46	0.2772857897
47	0.2752839974
48	0.27328955
49	0.2712842759
50	0.2693700814
51	0.2674454921
52	0.2655424626
53	0.2636356375
54	0.2617646271
55	0.259882035
56	0.2580836877
57	0.2562553499
58	0.2544333537
59	0.2526025836
60	0.2508460577
61	0.2491245954
62	0.24741531
63	0.2457475203
64	0.2441013883
65	0.2424926703
66	0.2408627756
67	0.2391973389
68	0.2375671049
69	0.2359408971
70	0.2343217107
71	0.2327350724
72	0.2312553675
73	0.229707949
74	0.2281935174
75	0.2267417017
76	0.2252473565
77	0.2238167781
78	0.222363309
79	0.2208904838
80	0.2194703446
81	0.2181326116
82	0.2167318687
83	0.2153446669
84	0.2139956273
85	0.2127269242
86	0.2113757998
87	0.2101384042
88	0.2088870725
89	0.2076664835
90	0.2064168261
91	0.2051820006
92	0.2039301666
93	0.2027477636
94	0.2015811309
95	0.2004397559
96	0.1992972495
97	0.1981228773
98	0.1969938695
99	0.1958556527
100	0.1947119888
101	0.1936144537
102	0.1925237417
103	0.1914726471
104	0.1904493073
105	0.1894113709
106	0.1883595019
107	0.1873400115
108	0.1863250862
109	0.1853382299
110	0.1843150863
111	0.183339917
112	0.1823798779
113	0.1814104128
114	0.1804590781
115	0.1794837079
116	0.1785776042
117	0.1776569467
118	0.1767567393
119	0.1758221136
120	0.1749400608
121	0.1740550979
122	0.1731781039
123	0.1723656893
124	0.1715096563
125	0.1706657319
126	0.1698389434
127	0.1690154262
128	0.1682153671
129	0.1674396169
130	0.166692284
131	0.1659410243
132	0.1651689954
133	0.1644166129
134	0.1636768272
135	0.1629673188
136	0.1622486746
137	0.161544636
138	0.1608318946
139	0.1601451227
140	0.1594438128
141	0.1587923697
142	0.1581502377
143	0.1575005102
144	0.1568499165
145	0.1562596395
146	0.1555854812
147	0.1549425598
148	0.1543467361
149	0.1537240958
150	0.1530981105
151	0.1524636598
152	0.1518775164
153	0.1513281154
154	0.1507699774
155	0.1502325935
156	0.1497078698
157	0.1491380793
158	0.1485926857
159	0.1480672691
160	0.1475439505
161	0.1469829634
162	0.1464681218
163	0.1459550413
164	0.1454548078
165	0.144971624
166	0.1444663773
167	0.1439709862
168	0.1434840246
169	0.1430091564
170	0.1425242933
171	0.1420625286
172	0.1415937274
173	0.1411449106
174	0.1407435243
175	0.1403313112
176	0.1398796569
177	0.1394636926
178	0.1390279593
179	0.1385999658
180	0.1381939897
181	0.1377932714
182	0.1374222873
183	0.1370322475
184	0.1366083903
185	0.1362335282
186	0.1358627043
187	0.1354950719
188	0.1351323249
189	0.1347718685
190	0.1344535019
191	0.1341235978
192	0.1337902917
193	0.1334893101
194	0.1331585462
195	0.1328185732
196	0.1324975754
197	0.1321623347
198	0.1318194558
199	0.1315070231
200	0.1311821262
201	0.1308807046
202	0.1306018883
203	0.1303091345
204	0.1300265764
205	0.1297695629
206	0.1294923455
207	0.1291964108
208	0.1289304741
209	0.1286727251
210	0.1283929228
211	0.1281286121
212	0.1278510423
213	0.127578366
214	0.1273063291
215	0.1270681042
216	0.1268394342
217	0.1265930518
218	0.1263622621
219	0.1261134572
220	0.125873099
221	0.1256426698
222	0.1254270457
223	0.1251957954
224	0.1249963802
225	0.1247748763
226	0.124555277
227	0.1243517068
228	0.1241367703
229	0.1239492077
230	0.1237402034
231	0.1235331488
232	0.1233318213
233	0.1231580826
234	0.1229637908
235	0.1227523714
236	0.1225974519
237	0.1224356773
238	0.1222473198
239	0.1220744824
240	0.1218725088
241	0.1217135311
242	0.1215671155
243	0.1213988934
244	0.1212510286
245	0.1211164762
246	0.1209487856
247	0.1207956913
248	0.1206669085
249	0.1205198062
250	0.1203621215
251	0.120235411
252	0.1200980543
253	0.1199632242
254	0.1198108314
255	0.1196764957
256	0.1195466273
257	0.1194236273
258	0.1192687942
259	0.1191166489
260	0.118983237
261	0.1188728671
262	0.1187698384
263	0.1186499017
264	0.1185157
265	0.1184155607
266	0.1183194772
267	0.1181988515
268	0.1180719197
269	0.1179544233
270	0.1178414026
271	0.1177418279
272	0.1176327306
273	0.1175393533
274	0.1174356511
275	0.1173354354
276	0.1172376168
277	0.1171385874
278	0.1170342104
279	0.1169505339
280	0.1168473851
281	0.1167637498
282	0.1166720188
283	0.1165831415
