iter	Passed	Remaining
0	2	2333
1	4	2168
2	6	2098
3	8	2062
4	10	2038
5	12	2043
6	14	2068
7	16	2050
8	18	2037
9	20	2023
10	22	2015
11	24	2008
12	26	2003
13	28	2010
14	30	2016
15	32	2009
16	34	2003
17	36	1996
18	38	1989
19	40	1985
20	42	1979
21	44	1973
22	46	1990
23	48	1987
24	50	1984
25	52	1980
26	54	1976
27	56	1971
28	58	1967
29	60	1963
30	63	1971
31	65	1967
32	67	1963
33	68	1958
34	70	1954
35	72	1951
36	74	1950
37	76	1947
38	79	1953
39	81	1949
40	83	1946
41	85	1943
42	87	1940
43	89	1937
44	91	1934
45	93	1931
46	95	1936
47	97	1933
48	99	1931
49	101	1928
50	103	1926
51	105	1922
52	107	1918
53	109	1914
54	111	1911
55	113	1907
56	115	1903
57	116	1900
58	118	1896
59	120	1893
60	122	1889
61	124	1885
62	126	1882
63	128	1878
64	130	1875
65	132	1872
66	134	1868
67	136	1865
68	137	1861
69	139	1858
70	141	1854
71	143	1851
72	145	1848
73	147	1846
74	149	1844
75	151	1840
76	153	1837
77	155	1835
78	157	1833
79	159	1835
80	161	1834
81	164	1836
82	165	1833
83	167	1830
84	169	1827
85	171	1823
86	173	1820
87	175	1822
88	177	1819
89	179	1816
90	181	1814
91	183	1811
92	185	1808
93	187	1805
94	189	1802
95	191	1799
96	193	1798
97	195	1798
98	197	1795
99	199	1793
100	201	1790
101	203	1787
102	204	1784
103	206	1781
104	208	1778
105	210	1779
106	212	1777
107	214	1774
108	216	1772
109	218	1770
110	220	1767
111	222	1764
112	224	1762
113	226	1762
114	228	1759
115	230	1757
116	232	1754
117	234	1752
118	236	1749
119	238	1747
120	240	1744
121	242	1742
122	244	1742
123	246	1740
124	248	1738
125	250	1736
126	252	1733
127	254	1731
128	256	1728
129	257	1726
130	260	1726
131	262	1724
132	264	1721
133	265	1718
134	267	1717
135	269	1714
136	271	1711
137	273	1709
138	275	1708
139	277	1706
140	279	1704
141	281	1702
142	283	1699
143	285	1696
144	287	1694
145	289	1691
146	291	1689
147	293	1689
148	295	1687
149	297	1684
150	299	1682
151	301	1680
152	303	1677
153	304	1674
154	306	1672
155	308	1670
156	310	1669
157	312	1667
158	314	1664
159	316	1662
160	318	1660
161	320	1657
162	322	1655
163	324	1653
164	326	1652
165	328	1650
166	330	1648
167	332	1646
168	334	1643
169	336	1641
170	338	1638
171	339	1636
172	342	1635
173	344	1633
174	346	1631
175	348	1629
176	349	1627
177	351	1624
178	353	1622
179	355	1620
180	357	1617
181	359	1617
182	361	1615
183	363	1612
184	365	1610
185	367	1608
186	369	1605
187	371	1603
188	373	1601
189	375	1600
190	377	1598
191	379	1595
192	381	1593
193	383	1591
194	384	1589
195	386	1586
196	388	1584
197	390	1583
198	393	1581
199	394	1579
200	396	1577
201	398	1575
202	400	1573
203	402	1570
204	404	1568
205	406	1566
206	408	1565
207	410	1563
208	412	1561
209	414	1559
210	416	1557
211	418	1555
212	420	1552
213	422	1550
214	424	1550
215	426	1547
216	428	1545
217	430	1543
